NO,ID,OT,latitude,longitude,DEPTH,MAG,ML,MC,MW,NST,RMS,GAP,lat_e,long_e,dp_e,L,FELT, STRIKE, DIP, RAKE
110,15-2321-11L.S202301,2023-01-15 17:21,  14.069,  -89.861,   9.5,  2.9,     ,  2.9,     ,   8,  0.5, 138,   4.5,   4.6,   5.0, L  ,-,      ,      ,     
111,15-2324-15L.S202301,2023-01-15 17:24,  14.056,  -89.825,   5.4,  3.0,     ,  3.0,     ,  11,  0.6, 132,   3.8,   3.5,   8.3, L  ,-,      ,      ,     
112,15-2324-16L.S202301,2023-01-15 17:24,  14.046,  -89.840,   0.0,  3.0,  3.0,     ,     ,  13, 0.59, 78 ,  1.8 ,  2.0 , 0.0  , L  ,-,      ,      ,     
113,15-2328-33L.S202301,2023-01-15 17:28,  14.075,  -89.830,   9.1,  2.2,  2.2,     ,     ,   4,  0.4, 129,   3.4,   4.4,  10.2, L  ,-,      ,      ,     
114,15-2335-02L.S202301,2023-01-15 17:35,  14.022,  -89.856,   5.0,  4.0,  4.0,  3.4,     ,  18,  0.9, 146,   6.1,   5.1,  11.2, L  ,0,      ,      ,     
115,15-2335-03L.S202301,2023-01-15 17:35,  14.052,  -89.839,   1.9,  3.8,  3.8,     ,     ,  20, 0.65, 72 ,  1.4 ,  1.4 , 1.8  , L  ,-,      ,      ,     
116,15-2337-16L.S202301,2023-01-15 17:37,  14.087,  -89.819,   2.9,  2.9,     ,  2.9,     ,   9,  0.5, 122,   4.0,   2.9,  10.0, L  ,-,      ,      ,     
117,15-2340-25L.S202301,2023-01-15 17:40,  14.028,  -89.819,   1.1,  2.6,     ,  2.6,     ,   6,  0.8, 136,   4.2,   4.7,   8.6, L  ,-,      ,      ,     
118,15-2340-57L.S202301,2023-01-15 17:40,  14.058,  -89.811,   4.3,  2.7,     ,  2.7,     ,   8,  0.6, 126,   3.7,   3.8,   9.0, L  ,-,      ,      ,     
119,15-2342-09L.S202301,2023-01-15 17:42,  14.076,  -89.818,   2.2,  2.8,     ,  2.8,     ,   7,  0.5, 125,   3.6,   3.6,  10.3, L  ,-,      ,      ,     
120,15-2351-13L.S202301,2023-01-15 17:51,  14.051,  -89.826,   7.4,  2.9,     ,  2.9,     ,   9,  0.7, 126,   4.1,   4.0,   8.7, L  ,-,      ,      ,     
121,15-2353-22L.S202301,2023-01-15 17:53,  14.056,  -89.831,   7.6,  2.1,     ,  2.1,     ,   9,  0.7, 129,   3.9,   4.5,   7.1, L  ,-,      ,      ,     
122,15-2353-24L.S202301,2023-01-15 17:53,  14.063,  -89.803,   1.4,  2.9,  2.9,     ,     ,   9, 0.41, 121,   2.3,   3.4,  3.4 , L  ,-,      ,      ,     
123,15-2355-29L.S202301,2023-01-15 17:55,  14.083,  -89.832,  13.2,  3.5,     ,  3.5,     ,  19,  0.5, 124,   2.7,   2.2,   4.9, L  ,-,      ,      ,     
124,15-2355-30L.S202301,2023-01-15 17:55,  14.067,  -89.842,   0.0,  3.2,  3.2,     ,     ,  19, 0.68, 73 ,  1.3 ,  1.5 , 0.0  , L  ,-,      ,      ,     
125,16-0000-32L.S202301,2023-01-15 18:00,  14.070,  -89.842,   4.3,  2.8,  2.8,     ,     ,   8,  0.2, 135,   2.8,   2.3,   5.9, L  ,-,      ,      ,     
126,16-0008-09L.S202301,2023-01-15 18:08,  14.092,  -89.837,   7.4,  3.7,     ,  3.7,     ,  10,  1.0, 126,   5.7,   6.4,  11.1, L  ,-,      ,      ,     
127,16-0008-11L.S202301,2023-01-15 18:08,  14.075,  -89.847,   1.3,  3.2,  3.2,     ,     ,  18, 0.36, 75 ,  1.4 ,  1.6 , 1.9  , L  ,-,      ,      ,     
128,16-0019-21L.S202301,2023-01-15 18:19,  14.078,  -89.841,   0.9,  3.9,  3.9,     ,     ,  22, 0.38, 73 ,  1.6 ,  1.5 , 1.8  , L  ,-,      ,      ,     
129,16-0024-23L.S202301,2023-01-15 18:24,  14.059,  -89.821,   3.1,  2.9,  2.9,     ,     ,   7,  0.3, 129,   2.2,   2.3,   4.2, L  ,-,      ,      ,     
130,16-0028-56L.S202301,2023-01-15 18:28,  14.082,  -89.813,   7.4,  3.3,     ,  3.3,     ,   7,  0.6, 122,   3.5,   4.4,   7.1, L  ,-,      ,      ,     
131,16-0031-50L.S202301,2023-01-15 18:31,  14.055,  -89.822,   4.7,  2.6,     ,  2.6,     ,   5,  0.3, 131,   2.1,   2.7,   3.9, L  ,-,      ,      ,     
132,16-0033-51L.S202301,2023-01-15 18:33,  14.083,  -89.817,   6.7,  3.5,  3.5,     ,     ,  12,  0.9, 117,   4.2,   5.1,   8.7, L  ,-,      ,      ,     
133,16-0033-53L.S202301,2023-01-15 18:33,  14.064,  -89.822,   0.0,  3.7,  3.7,     ,     ,  37, 0.88, 67 ,  1.1 ,  1.0 , 0.0  , L  ,-,      ,      ,     
134,16-0040-26L.S202301,2023-01-15 18:40,  14.072,  -89.831,  11.7,  2.5,     ,  2.5,     ,   5,  0.4, 130,   2.6,   3.0,   4.6, L  ,-,      ,      ,     
135,16-0041-14L.S202301,2023-01-15 18:41,  14.086,  -89.809,   6.1,  2.2,     ,  2.2,     ,   5,  0.5, 120,   2.3,   3.0,   9.4, L  ,-,      ,      ,     
136,16-0047-07L.S202301,2023-01-15 18:47,  14.070,  -89.852,   6.3,  3.2,     ,  3.2,     ,  15,  0.6, 131,   2.1,   2.2,   5.1, L  ,-,      ,      ,     
137,16-0047-09L.S202301,2023-01-15 18:47,  14.076,  -89.849,   0.4,  2.8,  2.8,     ,     ,  16, 0.39, 81 ,  1.5 ,  1.6 , 2.3  , L  ,-,      ,      ,     
138,16-0051-00L.S202301,2023-01-15 18:51,  14.071,  -89.801,   8.1,  2.7,     ,  2.7,     ,   7,  0.8, 120,   4.9,   5.7,  11.5, L  ,-,      ,      ,     
139,16-0056-07L.S202301,2023-01-15 18:56,  14.059,  -89.816,   3.1,  3.5,     ,  3.5,     ,  20,  0.9, 120,   5.1,   3.9,  11.4, L  ,-,      ,      ,     
