NO,ID,OT,latitude,longitude,DEPTH,MAG,ML,MC,MW,NST,RMS,GAP,lat_e,long_e,dp_e,L,FELT, STRIKE, DIP, RAKE,clasificación
1482,17-0605-10L.S202302,2023-02-17 00:05,13.18,-89.64,30.0,3.2,  3.2,     ,     ,34,0.45,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1483,17-0616-24L.S202302,2023-02-17 00:16,14.017,-89.73,1.1,3.6,     ,  3.6,     ,9,1.8, 100,   6.6,  11.6,  22.4, L  ,-,      ,      ,     ,cortical
1484,17-0730-41L.S202302,2023-02-17 01:30,14.05,-89.84,6.0,1.5,  1.5,     ,     ,6,0.1,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1485,17-0738-14L.S202302,2023-02-17 01:38,14.05,-89.83,5.0,1.5,  1.5,     ,     ,6,0.07,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1486,17-0930-28L.S202302,2023-02-17 03:30,14.08,-89.85,3.0,1.8,  1.8,     ,     ,10,0.24,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1487,17-0950-25L.S202302,2023-02-17 03:50,15.02,-93.39,13.0,4.2,  4.2,     ,     ,30,0.79,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1488,17-1152-17L.S202302,2023-02-17 05:52,14.04,-89.93,1.0,2.5,  2.5,     ,     ,6,0.04,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1489,17-1159-42L.S202302,2023-02-17 05:59,14.07,-89.85,6.0,1.6,  1.6,     ,     ,6,0.06,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1490,17-1235-13L.S202302,2023-02-17 06:35,14.07,-89.84,5.0,2.4,  2.4,     ,     ,13,0.18,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1491,17-1235-45L.S202302,2023-02-17 06:35,14.07,-89.85,5.0,2.1,  2.1,     ,     ,9,0.06,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1492,17-1335-39L.S202302,2023-02-17 07:35,14.08,-89.84,4.0,2.7,  2.7,     ,     ,12,0.24,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1493,17-1355-58L.S202302,2023-02-17 07:55,13.34,-90.33,10.0,4.0,  4.0,     ,     ,21,0.16,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1494,17-2153-30L.S202302,2023-02-17 15:53,13.09,-90.32,4.0,3.3,  3.3,     ,     ,17,0.8,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1495,17-2153-31L.S202302,2023-02-17 15:53,13.094,-90.319,4.2,3.2,  3.2,     ,     ,10,0.8, 304,  10.1,   4.9,  10.3, L  ,-,      ,      ,     ,cortical
1496,17-2241-50L.S202302,2023-02-17 16:41,14.08,-89.83,2.0,2.2,  2.2,     ,     ,8,0.61,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1497,17-2304-21L.S202302,2023-02-17 17:04,14.76,-92.72,25.0,3.9,  3.9,     ,     ,37,0.65,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1498,18-0105-31L.S202302,2023-02-17 19:05,14.05,-89.83,5.0,1.7,  1.7,     ,     ,10,0.34,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1499,18-0207-15L.S202302,2023-02-17 20:07,14.07,-89.85,4.0,2.8,  2.8,     ,     ,13,0.14,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1500,18-0633-21L.S202302,2023-02-18 00:33,14.18,-91.35,46.0,3.3,  3.3,     ,     ,21,0.41,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1501,18-0701-13L.S202302,2023-02-18 01:01,14.833,-91.312,4.5,3.3,  3.3,     ,     ,11,0.51, 300,   5.0,  21.8,  22.3, L  ,-,      ,      ,     ,cortical
1502,18-1111-10L.S202302,2023-02-18 05:11,13.71,-87.97,3.0,3.7,  3.7,     ,     ,12,0.68,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1503,18-1239-14L.S202302,2023-02-18 06:39,14.2,-91.41,21.0,3.8,  3.8,     ,     ,22,0.32,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1504,18-1406-29L.S202302,2023-02-18 08:06,14.77,-92.86,0.0,3.3,  3.3,     ,     ,14,0.27,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1505,18-1750-02L.S202302,2023-02-18 11:50,14.7,-91.63,73.0,1.8,  1.8,     ,     ,10,0.15,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción intraplaca
1506,19-0651-08L.S202302,2023-02-19 00:51,15.6,-88.11,11.0,3.7,  3.7,     ,     ,14,1.25,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1507,19-0754-34L.S202302,2023-02-19 01:54,12.44,-87.53,26.0,5.5,  5.5,     ,     ,31,0.87,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1508,19-2226-26L.S202302,2023-02-19 16:26,14.07,-89.83,4.0,1.9,  1.9,     ,     ,6,0.1,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1509,20-0330-05L.S202302,2023-02-19 21:30,13.21,-90.03,10.0,2.9,  2.9,     ,     ,12,0.28,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1510,20-0407-26L.S202302,2023-02-19 22:07,14.15,-91.92,27.0,3.5,  3.5,     ,     ,30,0.69,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1511,20-0407-27L.S202302,2023-02-19 22:07,14.147,-91.924,27.1,3.5,  3.5,     ,     ,20,0.69, 269,   4.0,   4.7,  5.2 , L  ,-,      ,      ,     ,subducción interfase
1512,20-0437-18L.S202302,2023-02-19 22:37,13.44,-90.18,28.0,3.6,  3.6,     ,     ,29,0.51,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1513,20-0444-36L.S202302,2023-02-19 22:44,13.93,-91.61,30.0,3.1,  3.1,     ,     ,17,0.46,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1514,20-0702-20L.S202302,2023-02-20 01:02,14.1,-89.86,0.0,1.9,  1.9,     ,     ,10,0.43,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1515,20-1000-44L.S202302,2023-02-20 04:00,14.6,-89.99,3.0,2.7,  2.7,     ,     ,29,0.44,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1516,20-1029-27L.S202302,2023-02-20 04:29,15.92,-91.38,16.0,3.0,  3.0,     ,     ,17,1.4,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1517,20-1041-55L.S202302,2023-02-20 04:41,14.09,-89.84,5.0,1.8,  1.8,     ,     ,6,0.17,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1518,20-1530-52L.S202302,2023-02-20 09:30,14.043,-89.81,8.1,2.5,  2.5,     ,     ,7,0.12,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1519,21-0107-51L.S202302,2023-02-20 19:07,14.06,-89.86,4.0,1.8,  1.8,     ,     ,8,0.09,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
